Ficha_Code;User_Id;Semestre;Asig_Code;Aula;PEC;PEC_Fecha;PEC_Entrega;PEC_Nota;PEC_Publicacion
790472;973815;20181;B2.586;1;PEC 3 - Uso de bases de datos NoSQL;03/02/2019;-;-;12/02/2019
790472;973815;20181;B2.586;1;Límite de entrega PECs recuperación;12/02/2019;-;-;18/02/2019
916595;1019701;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
916595;1019701;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
916595;1019701;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
916595;1019701;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
916595;1019701;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
896546;994263;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
896546;994263;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
896546;994263;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
896546;994263;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
896546;994263;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
643548;407933;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
643548;407933;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
643548;407933;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
643548;407933;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
643548;407933;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
895912;993439;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
895912;993439;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
895912;993439;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
895912;993439;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
895912;993439;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
895582;993014;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
895582;993014;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
895582;993014;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
895582;993014;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
895582;993014;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
901669;1000817;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
901669;1000817;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
901669;1000817;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
901669;1000817;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
901669;1000817;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
911036;1014520;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
911036;1014520;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
911036;1014520;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
911036;1014520;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
911036;1014520;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
900473;999380;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
900473;999380;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
900473;999380;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
900473;999380;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
900473;999380;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
915147;1016479;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
915147;1016479;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
915147;1016479;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
915147;1016479;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
915147;1016479;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
896373;994076;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
896373;994076;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
896373;994076;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
896373;994076;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
896373;994076;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
907716;1007138;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
907716;1007138;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
907716;1007138;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
907716;1007138;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
907716;1007138;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
900470;999378;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
900470;999378;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
900470;999378;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
900470;999378;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
900470;999378;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
901247;1000335;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
901247;1000335;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
901247;1000335;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
901247;1000335;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
901247;1000335;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
457365;214856;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
457365;214856;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
457365;214856;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
457365;214856;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
457365;214856;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
504896;271551;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
504896;271551;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
504896;271551;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
504896;271551;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
504896;271551;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
504896;271551;20181;B2.582;1;PEC 1;11/11/2018;-;-;26/11/2018
504896;271551;20181;B2.582;1;PEC 2;09/12/2018;-;-;24/12/2018
504896;271551;20181;B2.582;1;PEC 3;06/01/2019;-;-;21/01/2019
504896;271551;20181;B2.582;1;PEC 4;03/02/2019;-;-;08/02/2019
504896;271551;20181;B2.584;1;Práctica 1. Extracción y análisis de datos desde redes sociales;18/11/2018;-;-;06/12/2018
504896;271551;20181;B2.584;1;Práctica 2. Gestión y visualización de datos geográficos;11/12/2018;-;-;24/12/2018
504896;271551;20181;B2.584;1;Práctica 3. Análisis  de datos geográficos;30/12/2018;-;-;14/01/2019
504896;271551;20181;B2.584;1;Práctica 4. Análisis y extracción de datos enlazados;06/02/2019;-;-;19/02/2019
902978;1001826;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
902978;1001826;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
902978;1001826;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
902978;1001826;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
902978;1001826;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
914363;1014536;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
914363;1014536;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
914363;1014536;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
914363;1014536;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
914363;1014536;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
910113;1009561;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
910113;1009561;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
910113;1009561;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
910113;1009561;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
910113;1009561;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
745115;563429;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
745115;563429;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
745115;563429;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
745115;563429;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
745115;563429;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
887834;980701;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
887834;980701;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
887834;980701;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
887834;980701;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
887834;980701;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
412141;131203;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
412141;131203;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
412141;131203;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
412141;131203;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
412141;131203;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
884402;973795;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
884402;973795;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
884402;973795;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
884402;973795;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
884402;973795;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
885653;975431;20181;B2.343;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
885653;975431;20181;B2.343;1;PEC 2_ Estructura de la memoria;03/12/2018;-;-;10/12/2018
885653;975431;20181;B2.343;1;PEC 3_ Primera versión de la memoria;07/01/2019;-;-;14/01/2019
885653;975431;20181;B2.343;1;Entrega final;28/01/2019;-;-;12/02/2019
885653;975431;20181;B2.343;1;Tribunal de Evaluación;12/02/2019;-;-;19/02/2019
885653;975431;20181;B2.581;1;PEC1;05/11/2018;03/11/2018;-;13/11/2018
885653;975431;20181;B2.581;1;PEC2;17/11/2018;-;-;27/11/2018
885653;975431;20181;B2.581;1;Práctica 1;08/12/2018;-;-;21/12/2018
885653;975431;20181;B2.581;1;Práctica 2;13/01/2019;-;-;27/01/2019
885653;975431;20181;B2.581;1;Práctica 3;01/02/2019;-;-;09/02/2019
570103;334220;20181;B2.342;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
570103;334220;20181;B2.342;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;12/12/2018
570103;334220;20181;B2.342;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;10/01/2019
570103;334220;20181;B2.342;1;Entrega final;25/01/2019;-;-;31/01/2019
570103;334220;20181;B2.342;1;Tribunal de Evaluación;08/02/2019;-;-;10/02/2019
886253;976155;20181;B2.327;1;PEC1. Cuadro de Mando Integral;28/11/2018;-;-;11/12/2018
886253;976155;20181;B2.327;1;PEC2. Inteligencia Competitiva;04/01/2019;-;-;17/01/2019
886253;976155;20181;B2.327;1;PEC3. Síntesis;28/01/2019;-;-;10/02/2019
886253;976155;20181;B2.328;1;PEC 0;28/10/2018;-;N;04/11/2018
886253;976155;20181;B2.328;1;PEC 1;22/11/2018;-;-;30/11/2018
886253;976155;20181;B2.328;1;Debate;23/12/2018;-;-;-
886253;976155;20181;B2.328;1;PEC 2;23/12/2018;-;-;31/12/2018
886253;976155;20181;B2.328;1;PEC 3;23/01/2019;-;-;31/01/2019
886253;976155;20181;B2.328;1;PEC Global;04/02/2019;-;-;12/02/2019
886253;976155;20181;B2.330;1;Actividad 1. ;13/11/2018;-;-;20/11/2018
886253;976155;20181;B2.330;1;Actividad 2.;11/12/2018;-;-;18/12/2018
886253;976155;20181;B2.330;1;Actividad 3;08/01/2019;-;-;15/01/2019
886253;976155;20181;B2.330;1;Actividad 4;05/02/2019;-;-;12/02/2019
934334;1054939;20181;B2.341;1;PEC 1_ Propuesta inicial;06/11/2018;-;-;12/11/2018
934334;1054939;20181;B2.341;1;PEC 2_ Estructura de la memoria;28/11/2018;-;-;10/12/2018
934334;1054939;20181;B2.341;1;PEC 3_ Primera versión de la memoria;27/12/2018;-;-;14/01/2019
934334;1054939;20181;B2.341;1;Entrega final;25/01/2019;-;-;12/02/2019
934334;1054939;20181;B2.341;1;Tribunal de Evaluación;08/02/2019;-;-;19/02/2019
1025650;1200258;20181;B2.581;1;PEC1;05/11/2018;-;-;13/11/2018
1025650;1200258;20181;B2.581;1;PEC2;17/11/2018;-;-;27/11/2018
1025650;1200258;20181;B2.581;1;Práctica 1;08/12/2018;-;-;21/12/2018
1025650;1200258;20181;B2.581;1;Práctica 2;13/01/2019;-;-;27/01/2019
1025650;1200258;20181;B2.581;1;Práctica 3;01/02/2019;-;-;09/02/2019
1025650;1200258;20181;B2.582;1;PEC 1;11/11/2018;-;-;26/11/2018
1025650;1200258;20181;B2.582;1;PEC 2;09/12/2018;-;-;24/12/2018
1025650;1200258;20181;B2.582;1;PEC 3;06/01/2019;-;-;21/01/2019
1025650;1200258;20181;B2.582;1;PEC 4;03/02/2019;-;-;08/02/2019
1025650;1200258;20181;B2.583;1;"PEC1. Sistemas de Data Warehouse_ importancia de los datos; roles de usuario; explotación y administración.";14/11/2018;-;-;28/11/2018
1025650;1200258;20181;B2.583;1;PRA1. Evaluación de la viabilidad de los sistemas de Data Warehouse ;17/12/2018;-;-;31/12/2018
1025650;1200258;20181;B2.583;1;PRA2. Explotación de datos_ múltiples formas de presentación y consumo de datos  ;24/01/2019;-;-;07/02/2019
1025650;1200258;20181;B2.583;1;PEC2. Administración del sistema de Data Warehouse ;05/02/2019;-;-;14/02/2019
1024223;1196056;20181;B2.320;2;Actividad 1;08/11/2018;28/10/2018;-;18/11/2018
1024223;1196056;20181;B2.320;2;Actividad 2;05/12/2018;-;-;17/12/2018
1024223;1196056;20181;B2.320;2;Actividad 3;03/01/2019;-;-;10/01/2019
1024223;1196056;20181;B2.320;2;Actividad 4;31/01/2019;-;-;10/02/2019
1024223;1196056;20181;B2.321;1;PEC 1;12/11/2018;-;-;26/11/2018
1024223;1196056;20181;B2.321;1;PEC 2;10/12/2018;-;-;24/12/2018
1024223;1196056;20181;B2.321;1;PEC 3;07/01/2019;-;-;21/01/2019
1024223;1196056;20181;B2.321;1;PEC 4;01/02/2019;-;-;11/02/2019
1024223;1196056;20181;B2.577;2;Debate 1_ ¿Qué es Big Data?;11/11/2018;-;-;-
1024223;1196056;20181;B2.577;2;Cuestionario módulo 1;25/11/2018;-;-;-
1024223;1196056;20181;B2.577;2;PEC 1_ Definición de un escenario;28/11/2018;-;-;-
1024223;1196056;20181;B2.577;2;Cuestionario módulo 2;23/12/2018;-;-;-
1024223;1196056;20181;B2.577;2;PEC 2_ MapReduce y Apache Spark;26/12/2018;-;-;-
1024223;1196056;20181;B2.577;2;Cuestionario módulo 3;20/01/2019;-;-;-
1024223;1196056;20181;B2.577;2;PEC 3_ Análisis en AWS;23/01/2019;-;-;-
1024223;1196056;20181;B2.577;2;PEC 4_ Nuevas tendencias;03/02/2019;-;-;-
1024223;1196056;20181;B2.578;1;Actividad 1;13/11/2018;-;-;20/11/2018
1024223;1196056;20181;B2.578;1;Actividad 2;11/12/2018;-;-;18/12/2018
1024223;1196056;20181;B2.578;1;Actividad 3;08/01/2019;-;-;15/01/2019
1024223;1196056;20181;B2.578;1;Actividad 4;05/02/2019;-;-;12/02/2019
1025653;1200276;20181;B2.320;3;Actividad 1;08/11/2018;-;-;18/11/2018
1025653;1200276;20181;B2.320;3;Actividad 2;05/12/2018;-;-;17/12/2018
1025653;1200276;20181;B2.320;3;Actividad 3;03/01/2019;-;-;10/01/2019
1025653;1200276;20181;B2.320;3;Actividad 4;31/01/2019;-;-;10/02/2019
1025653;1200276;20181;B2.321;3;PEC 1;12/11/2018;-;-;26/11/2018
1025653;1200276;20181;B2.321;3;PEC 2;10/12/2018;-;-;24/12/2018
1025653;1200276;20181;B2.321;3;PEC 3;07/01/2019;-;-;21/01/2019
1025653;1200276;20181;B2.321;3;PEC 4;01/02/2019;-;-;11/02/2019
1025653;1200276;20181;B2.577;3;Debate 1_ ¿Qué es Big Data?;11/11/2018;-;-;-
1025653;1200276;20181;B2.577;3;Cuestionario módulo 1;25/11/2018;-;-;-
1025653;1200276;20181;B2.577;3;PEC 1_ Definición de un escenario;28/11/2018;-;-;-
1025653;1200276;20181;B2.577;3;Cuestionario módulo 2;23/12/2018;-;-;-
1025653;1200276;20181;B2.577;3;PEC 2_ MapReduce y Apache Spark;26/12/2018;-;-;-
1025653;1200276;20181;B2.577;3;Cuestionario módulo 3;20/01/2019;-;-;-
1025653;1200276;20181;B2.577;3;PEC 3_ Análisis en AWS;23/01/2019;-;-;-
1025653;1200276;20181;B2.577;3;PEC 4_ Nuevas tendencias;03/02/2019;-;-;-
1025653;1200276;20181;B2.578;3;Actividad 1;13/11/2018;30/10/2018;-;20/11/2018
1025653;1200276;20181;B2.578;3;Actividad 2;11/12/2018;-;-;18/12/2018
1025653;1200276;20181;B2.578;3;Actividad 3;08/01/2019;-;-;15/01/2019
1025653;1200276;20181;B2.578;3;Actividad 4;05/02/2019;-;-;12/02/2019
1027462;1204213;20181;B2.320;1;Actividad 1;08/11/2018;02/11/2018;-;18/11/2018
1027462;1204213;20181;B2.320;1;Actividad 2;05/12/2018;-;-;17/12/2018
1027462;1204213;20181;B2.320;1;Actividad 3;03/01/2019;-;-;10/01/2019
1027462;1204213;20181;B2.320;1;Actividad 4;31/01/2019;-;-;10/02/2019
1027462;1204213;20181;B2.321;1;PEC 1;12/11/2018;-;-;26/11/2018
1027462;1204213;20181;B2.321;1;PEC 2;10/12/2018;-;-;24/12/2018
1027462;1204213;20181;B2.321;1;PEC 3;07/01/2019;-;-;21/01/2019
1027462;1204213;20181;B2.321;1;PEC 4;01/02/2019;-;-;11/02/2019
1027462;1204213;20181;B2.577;1;Debate 1_ ¿Qué es Big Data?;11/11/2018;-;-;-
1027462;1204213;20181;B2.577;1;Cuestionario módulo 1;25/11/2018;-;-;-
1027462;1204213;20181;B2.577;1;PEC 1_ Definición de un escenario;28/11/2018;-;-;-
1027462;1204213;20181;B2.577;1;Cuestionario módulo 2;23/12/2018;-;-;-
1027462;1204213;20181;B2.577;1;PEC 2_ MapReduce y Apache Spark;26/12/2018;-;-;-
1027462;1204213;20181;B2.577;1;Cuestionario módulo 3;20/01/2019;-;-;-
1027462;1204213;20181;B2.577;1;PEC 3_ Análisis en AWS;23/01/2019;-;-;-
1027462;1204213;20181;B2.577;1;PEC 4_ Nuevas tendencias;03/02/2019;-;-;-
1027462;1204213;20181;B2.578;1;Actividad 1;13/11/2018;-;-;20/11/2018
1027462;1204213;20181;B2.578;1;Actividad 2;11/12/2018;-;-;18/12/2018
1027462;1204213;20181;B2.578;1;Actividad 3;08/01/2019;-;-;15/01/2019
1027462;1204213;20181;B2.578;1;Actividad 4;05/02/2019;-;-;12/02/2019
1024811;1197418;20181;B2.320;2;Actividad 1;08/11/2018;-;-;18/11/2018
1024811;1197418;20181;B2.320;2;Actividad 2;05/12/2018;-;-;17/12/2018
1024811;1197418;20181;B2.320;2;Actividad 3;03/01/2019;-;-;10/01/2019
1024811;1197418;20181;B2.320;2;Actividad 4;31/01/2019;-;-;10/02/2019
1024811;1197418;20181;B2.321;2;PEC 1;12/11/2018;-;-;26/11/2018
1024811;1197418;20181;B2.321;2;PEC 2;10/12/2018;-;-;24/12/2018
1024811;1197418;20181;B2.321;2;PEC 3;07/01/2019;-;-;21/01/2019
1024811;1197418;20181;B2.321;2;PEC 4;01/02/2019;-;-;11/02/2019
1024811;1197418;20181;B2.577;2;Debate 1_ ¿Qué es Big Data?;11/11/2018;-;-;-
1024811;1197418;20181;B2.577;2;Cuestionario módulo 1;25/11/2018;-;-;-
1024811;1197418;20181;B2.577;2;PEC 1_ Definición de un escenario;28/11/2018;-;-;-
1024811;1197418;20181;B2.577;2;Cuestionario módulo 2;23/12/2018;-;-;-
1024811;1197418;20181;B2.577;2;PEC 2_ MapReduce y Apache Spark;26/12/2018;-;-;-
1024811;1197418;20181;B2.577;2;Cuestionario módulo 3;20/01/2019;-;-;-
1024811;1197418;20181;B2.577;2;PEC 3_ Análisis en AWS;23/01/2019;-;-;-
1024811;1197418;20181;B2.577;2;PEC 4_ Nuevas tendencias;03/02/2019;-;-;-
1024811;1197418;20181;B2.578;2;Actividad 1;13/11/2018;-;-;20/11/2018
1024811;1197418;20181;B2.578;2;Actividad 2;11/12/2018;-;-;18/12/2018
1024811;1197418;20181;B2.578;2;Actividad 3;08/01/2019;-;-;15/01/2019
1024811;1197418;20181;B2.578;2;Actividad 4;05/02/2019;-;-;12/02/2019
868305;949163;20181;B2.320;1;Actividad 1;08/11/2018;-;-;18/11/2018
868305;949163;20181;B2.320;1;Actividad 2;05/12/2018;-;-;17/12/2018
868305;949163;20181;B2.320;1;Actividad 3;03/01/2019;-;-;10/01/2019
868305;949163;20181;B2.320;1;Actividad 4;31/01/2019;-;-;10/02/2019
868305;949163;20181;B2.321;1;PEC 1;12/11/2018;-;-;26/11/2018
868305;949163;20181;B2.321;1;PEC 2;10/12/2018;-;-;24/12/2018
868305;949163;20181;B2.321;1;PEC 3;07/01/2019;-;-;21/01/2019
868305;949163;20181;B2.321;1;PEC 4;01/02/2019;-;-;11/02/2019
868305;949163;20181;B2.577;1;Debate 1_ ¿Qué es Big Data?;11/11/2018;-;-;-
868305;949163;20181;B2.577;1;Cuestionario módulo 1;25/11/2018;-;-;-
868305;949163;20181;B2.577;1;PEC 1_ Definición de un escenario;28/11/2018;-;-;-
868305;949163;20181;B2.577;1;Cuestionario módulo 2;23/12/2018;-;-;-
868305;949163;20181;B2.577;1;PEC 2_ MapReduce y Apache Spark;26/12/2018;-;-;-
868305;949163;20181;B2.577;1;Cuestionario módulo 3;20/01/2019;-;-;-
868305;949163;20181;B2.577;1;PEC 3_ Análisis en AWS;23/01/2019;-;-;-
868305;949163;20181;B2.577;1;PEC 4_ Nuevas tendencias;03/02/2019;-;-;-
868305;949163;20181;B2.578;1;Actividad 1;13/11/2018;-;-;20/11/2018
868305;949163;20181;B2.578;1;Actividad 2;11/12/2018;-;-;18/12/2018
868305;949163;20181;B2.578;1;Actividad 3;08/01/2019;-;-;15/01/2019
868305;949163;20181;B2.578;1;Actividad 4;05/02/2019;-;-;12/02/2019
444123;195634;20181;B2.324;1;Debate;02/11/2018;-;-;09/11/2018
444123;195634;20181;B2.324;1;PEC 0_ Software R y conceptos básicos;02/11/2018;-;-;09/11/2018
444123;195634;20181;B2.324;1;PEC 1_ Lectura y preparación de datos de muestreo;23/11/2018;-;-;09/12/2018
444123;195634;20181;B2.324;1;PEC 2_ Distribución normal, Intervalos de Confianza y Regresión;20/12/2018;-;-;07/01/2019
444123;195634;20181;B2.324;1;PEC 3_ ANOVA y PCA;19/01/2019;-;-;27/01/2019
444123;195634;20181;B2.324;1;Debate 2;04/02/2019;-;-;-
444123;195634;20181;B2.324;1;PEC Global;04/02/2019;-;-;12/02/2019
444123;195634;20181;B2.325;3;Debate;04/11/2018;-;-;11/11/2018
444123;195634;20181;B2.325;3;PEC 1_ Text Mining;18/11/2018;-;-;25/11/2018
